"slug","title_tr","top_category_slug","confidence","decision","main_category","reason"
"service-fotograf-makinesi-tamiri","Fotograf Makinesi Tamiri","service-photo-video-media","medium","out","","exclude_rule"
"service-gardrop-montaji","Gardrop Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-genlesme-tanki-montaji","Genlesme Tanki Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-geri-gorus-kamerasi-montaji","Geri Gorus Kamerasi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-gomme-klozet-montaji","Gomme Klozet Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-gomme-rezervuar-montaji","Gomme Rezervuar Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-gunes-paneli-montaji","Gunes Paneli Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-guvenlik-kamera-montaji","Guvenlik Kamera Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-havluluk-montaji","Havluluk Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-havlupan-montaji","Havlupan Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-hidrofor-montaji","Hidrofor Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-hiz-sabitleyici-montaji","Hiz Sabitleyici Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-ikea-dolap-montaj","Ikea Dolap Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-ikea-montaj","Ikea Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-isi-pompasi-montaji","Isi Pompasi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-jakuzi-montaji","Jakuzi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-jaluzi-perde-montaji","Jaluzi Perde Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-kablo-tavasi-montaji","Kablo Tavasi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-kalorimetre-montaji","Kalorimetre Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-kamera-montaj","Kamera Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-kapi-hidroligi-montaji","Kapi Hidroligi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-kapi-kolu-montaji","Kapi Kolu Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-kapi-montaji","Kapi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-kapi-otomatigi-montaji","Kapi Otomatigi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-kapi-pervazi-montaji","Kapi Pervazi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-karavan-gunes-paneli-montaji","Karavan Gunes Paneli Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-karavan-webasto-montaji","Karavan Webasto Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-kartonpiyerli-kornis-montaji","Kartonpiyerli Kornis Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-kedi-kapisi-montaji","Kedi Kapisi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-kitaplik-montaji","Kitaplik Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-klozet-kapagi-montaji","Klozet Kapagi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-klozet-montaji","Klozet Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-koctas-montaj","Koctas Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-koltuk-montaji","Koltuk Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-kornis-montaj","Kornis Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-kosu-bandi-montaji","Kosu Bandi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-kum-torbasi-montaji","Kum Torbasi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-kuvet-montaji","Kuvet Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-lake-kapi-montaji","Lake Kapi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-lake-supurgelik-montaji","Lake Supurgelik Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-lamba-montaji","Lamba Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-lavabo-montaji","Lavabo Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-led-avize-montaji","Led Avize Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-lpg-montaj","Lpg Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-makyaj-masasi-montaji","Makyaj Masasi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-masa-ayagi-montaji","Masa Ayagi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-masa-montaji","Masa Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-masaustu-bilgisayar-montaji","Masaustu Bilgisayar Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-melamin-kapi-montaji","Melamin Kapi Montaji","service-photo-video-media","medium","out","","exclude_rule"
