"main_category","title_tr","slug","top_category_slug","confidence"
"catering-hizmetleri","Bento Pasta","service-bento-pasta","service-other","low"
"catering-hizmetleri","Butik Pasta","service-butik-pasta","service-other","low"
"catering-hizmetleri","Butik Pasta Egitimi","service-butik-pasta-egitimi","service-education-lessons","medium"
"catering-hizmetleri","Catering","service-catering","service-events-organization","medium"
"catering-hizmetleri","Davet Catering","service-davet-catering","service-events-organization","medium"
"catering-hizmetleri","Dogum Gunu Catering","service-dogum-gunu-catering","service-events-organization","high"
"catering-hizmetleri","Dogum Gunu Ikramliklari","service-dogum-gunu-ikramliklari","service-events-organization","medium"
"catering-hizmetleri","Dogum Gunu Pastasi","service-dogum-gunu-pastasi","service-events-organization","medium"
"catering-hizmetleri","Doner Catering","service-doner-catering","service-events-organization","medium"
"catering-hizmetleri","Dugun Catering","service-dugun-catering","service-events-organization","high"
"catering-hizmetleri","Dugun Ikramliklari","service-dugun-ikramliklari","service-events-organization","medium"
"catering-hizmetleri","Dugun Pastasi","service-dugun-pastasi","service-events-organization","medium"
"catering-hizmetleri","Ev Yapimi Pasta","service-ev-yapimi-pasta","service-home-furniture-wood","medium"
"catering-hizmetleri","Glutensiz Pasta","service-glutensiz-pasta","service-other","low"
"catering-hizmetleri","Iftar Yemegi Catering","service-iftar-yemegi-catering","service-events-organization","medium"
"catering-hizmetleri","Kokteyl Catering","service-kokteyl-catering","service-events-organization","medium"
"catering-hizmetleri","Kuru Pasta","service-kuru-pasta","service-other","low"
"catering-hizmetleri","Maket Pasta","service-maket-pasta","service-other","low"
"catering-hizmetleri","Nisan Ikramliklari Catering","service-nisan-ikramliklari-catering","service-events-organization","high"
"catering-hizmetleri","Nisan Menusu Catering","service-nisan-menusu-catering","service-events-organization","high"
"catering-hizmetleri","Nisan Pastasi","service-nisan-pastasi","service-events-organization","medium"
"catering-hizmetleri","Ozel Pasta Siparisi","service-ozel-pasta-siparisi","service-other","low"
"catering-hizmetleri","Pasta","service-pasta","service-other","low"
"catering-hizmetleri","Pasta Cila","service-pasta-cila","service-auto-services","medium"
"catering-hizmetleri","Resimli Pasta","service-resimli-pasta","service-other","low"
"catering-hizmetleri","Seker Hamuru Pasta","service-seker-hamuru-pasta","service-other","low"
"catering-hizmetleri","Soz Pastasi","service-soz-pastasi","service-other","low"
"catering-hizmetleri","Yas Pasta","service-yas-pasta","service-other","low"
"catering-hizmetleri","Yerinde Pasta Cila","service-yerinde-pasta-cila","service-auto-services","medium"
"cicekciler","Cicek Bakimi","service-cicek-bakimi","service-health-care","medium"
"cicekciler","Cicek Gonderme","service-cicek-gonderme","service-other","low"
"cicekciler","Cicek Tasarimi","service-cicek-tasarimi","service-design-software-marketing","medium"
