"url","domain","page_type","priority","reason","action"
"https://izmirorkestra.net/dugun-canli-muzik-grubu","izmirorkestra.net","unknown","high","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/dugun-orkestra-5","izmirorkestra.net","unknown","medium","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/dugun-orkestra-kiralama","izmirorkestra.net","unknown","medium","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/dugun-orkestrasi","izmirorkestra.net","unknown","medium","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/izmir-sunnet-organizasyon","izmirorkestra.net","unknown","medium","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/kina-organizasyon","izmirorkestra.net","unknown","medium","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/et/bayan-orkestra-ve-dj-kiralama","izmirorkestra.net","unknown","medium","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/dugun-fotografcisi-2","izmirorkestra.net","unknown","medium","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/dugun-fotografcisi-5","izmirorkestra.net","unknown","medium","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/dugun-okrstrasi-secimi","izmirorkestra.net","unknown","medium","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/gelin-alma-organizasyon","izmirorkestra.net","unknown","medium","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/izmir-mehter-takimi-kiralama","izmirorkestra.net","unknown","medium","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/kina-ve-kina-gecesi-nedir-neden-yapilir","izmirorkestra.net","unknown","medium","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/nisan-organizasyon","izmirorkestra.net","unknown","medium","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/kategori/kategori","izmirorkestra.net","unknown","low","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/urun/hoodie-with-logo","izmirorkestra.net","unknown","low","auto_candidate","review_keep_or_map"
"https://izmirorkestra.net/15c42-web-agency-gb-contact-us","izmirorkestra.net","unknown","low","auto_candidate","review_keep_or_map"
