"slug","title_tr","top_category_slug","mapping_confidence","decision","main_category","reason"
"service-koltuk-ayagi-degistirme","Koltuk Ayagi Degistirme","service-repair-maintenance","medium","manual_review","","no_match"
"service-koltuk-tadilati","Koltuk Tadilati","service-construction-renovation","medium","manual_review","","no_match"
"service-kombiden-sicak-su-gelmiyor","Kombiden Sicak Su Gelmiyor","service-plumbing-electric-hvac","medium","manual_review","","no_match"
"service-konteyner-ev-yapimi","Konteyner Ev Yapimi","service-home-furniture-wood","medium","manual_review","","no_match"
"service-konut-insaati","Konut Insaati","service-construction-renovation","medium","manual_review","","no_match"
"service-kopek-pansiyonu","Kopek Pansiyonu","service-pets-garden","medium","manual_review","","no_match"
"service-kopek-transfer","Kopek Transfer","service-pets-garden","medium","manual_review","","no_match"
"service-korkuluk-yapimi","Korkuluk Yapimi","service-home-furniture-wood","medium","manual_review","","no_match"
"service-kuran-kursu","Kuran Kursu","service-education-lessons","medium","manual_review","","no_match"
"service-lambri-doseme","Lambri Doseme","service-construction-renovation","medium","manual_review","","no_match"
"service-laptop-batarya-degisimi","Laptop Batarya Degisimi","service-plumbing-electric-hvac","medium","manual_review","","no_match"
"service-laptop-harddisk-degisimi","Laptop Harddisk Degisimi","service-repair-maintenance","medium","manual_review","","no_match"
"service-lavabo-yeri-degistirme","Lavabo Yeri Degistirme","service-repair-maintenance","medium","manual_review","","no_match"
"service-masa-cami-kestirme","Masa Cami Kestirme","service-home-furniture-wood","medium","manual_review","","no_match"
"service-merdiven-hali-kaplama","Merdiven Hali Kaplama","service-auto-services","medium","manual_review","","no_match"
"service-mermer-tezgah","Mermer Tezgah","service-home-furniture-wood","medium","manual_review","","no_match"
"service-meta-reklam-egitimi","Meta Reklam Egitimi","service-education-lessons","medium","manual_review","","no_match"
"service-monitor-ekran-degisimi","Monitor Ekran Degisimi","service-repair-maintenance","medium","manual_review","","no_match"
"service-mont-kuru-temizleme","Mont Kuru Temizleme","service-home-cleaning","medium","manual_review","","no_match"
"service-motosiklet-trafik-sigortasi","Motosiklet Trafik Sigortasi","service-auto-services","medium","manual_review","","no_match"
"service-musluk-kartus-degisimi","Musluk Kartus Degisimi","service-repair-maintenance","medium","manual_review","","no_match"
"service-online-stil-danismani","Online Stil Danismani","service-education-lessons","medium","manual_review","","no_match"
"service-org-dersi","Org Dersi","service-education-lessons","medium","manual_review","","no_match"
"service-oto-cilingir","Oto Cilingir","service-auto-services","medium","manual_review","","no_match"
"service-oto-lastik","Oto Lastik","service-auto-services","medium","manual_review","","no_match"
"service-otomasyon-yazilim","Otomasyon Yazilim","service-design-software-marketing","medium","manual_review","","no_match"
"service-oyun-terapisi","Oyun Terapisi","service-health-care","medium","manual_review","","no_match"
"service-parke-merdiven-kaplama","Parke Merdiven Kaplama","service-auto-services","medium","manual_review","","no_match"
"service-parsiyel-nakliye","Parsiyel Nakliye","service-moving-logistics","medium","manual_review","","no_match"
"service-parsiyel-tasima","Parsiyel Tasima","service-moving-logistics","medium","manual_review","","no_match"
"service-pencere-korkuluk","Pencere Korkuluk","service-glass-aluminum-pvc","medium","manual_review","","no_match"
"service-philips-tv-servisi","Philips Tv Servisi","service-repair-maintenance","medium","manual_review","","no_match"
"service-plastik-lambiri-doseme","Plastik Lambiri Doseme","service-construction-renovation","medium","manual_review","","no_match"
"service-puf-kaplama","Puf Kaplama","service-auto-services","medium","manual_review","","no_match"
"service-pvc-banyo-kapisi","Pvc Banyo Kapisi","service-construction-renovation","medium","manual_review","","no_match"
"service-raf-yapimi","Raf Yapimi","service-home-furniture-wood","medium","manual_review","","no_match"
"service-sapkes-yerden-isitma","Sapkes Yerden Isitma","service-plumbing-electric-hvac","medium","manual_review","","no_match"
"service-sauna-yapimi","Sauna Yapimi","service-home-furniture-wood","medium","manual_review","","no_match"
"service-sehpa-boyama","Sehpa Boyama","service-construction-renovation","medium","manual_review","","no_match"
"service-seslendirme","Seslendirme","service-photo-video-media","medium","manual_review","","no_match"
"service-siemens-buzdolabi-servisi","Siemens Buzdolabi Servisi","service-repair-maintenance","medium","manual_review","","no_match"
"service-singil-cati-yapimi","Singil Cati Yapimi","service-construction-renovation","medium","manual_review","","no_match"
"service-sketchup-cizim","Sketchup Cizim","service-design-software-marketing","medium","manual_review","","no_match"
"service-snowboard-dersi","Snowboard Dersi","service-education-lessons","medium","manual_review","","no_match"
"service-soba-bacasi-temizleme","Soba Bacasi Temizleme","service-home-cleaning","medium","manual_review","","no_match"
"service-spss-veri-girisi","Spss Veri Girisi","service-design-software-marketing","medium","manual_review","","no_match"
"service-su-aritma","Su Aritma","service-plumbing-electric-hvac","medium","manual_review","","no_match"
"service-tekerlekli-paten-dersi","Tekerlekli Paten Dersi","service-education-lessons","medium","manual_review","","no_match"
"service-televizyon-ekran-degisimi","Televizyon Ekran Degisimi","service-repair-maintenance","medium","manual_review","","no_match"
