"slug","title_tr","top_category_slug","mapping_confidence","decision","main_category","reason"
"service-tyt-turkce-ozel-ders","Tyt Turkce Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-uzaktan-kumandali-araba-tamiri","Uzaktan Kumandali Araba Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-xbox-kol-tamiri","Xbox Kol Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-yatak-odasi-montaji","Yatak Odasi Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-avize-montaj","Avize Montaj","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-televizyon-tamiri","Televizyon Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-online-ales-matematik-ozel-ders","Online Ales Matematik Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-online-ortaokul-ingilizce-ozel-ders","Online Ortaokul Ingilizce Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-daire-ici-dogalgaz-tesisati","Daire Ici Dogalgaz Tesisati","service-plumbing-electric-hvac","high","rejected_scope","","exclude_rule"
"service-elektrik-tesisat-uygunluk-belgesi","Elektrik Tesisat Uygunluk Belgesi","service-plumbing-electric-hvac","high","rejected_scope","","exclude_rule"
"service-insaat-elektrik-tesisati","Insaat Elektrik Tesisati","service-plumbing-electric-hvac","high","rejected_scope","","exclude_rule"
"service-online-calculus-ozel-ders","Online Calculus Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-online-ielts-ozel-ders","Online Ielts Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-online-osmanlica-ozel-ders","Online Osmanlica Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-airbag-tamiri","Airbag Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-airfryer-tamiri","Airfryer Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-akordiyon-kapi-montaji","Akordiyon Kapi Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-akulu-araba-tamiri","Akulu Araba Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-alcipan-tamiri","Alcipan Tamiri","service-construction-renovation","medium","rejected_scope","","exclude_rule"
"service-amortisor-tamiri","Amortisor Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-banyo-dolabi-montaji","Banyo Dolabi Montaji","service-construction-renovation","medium","rejected_scope","","exclude_rule"
"service-boru-tesisati","Boru Tesisati","service-plumbing-electric-hvac","medium","rejected_scope","","exclude_rule"
"service-canon-yazici-tamiri","Canon Yazici Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-cekmece-rayi-montaji","Cekmece Rayi Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-direksiyon-kutusu-tamiri","Direksiyon Kutusu Tamiri","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-dogalgaz-baglatma","Dogalgaz Baglatma","service-plumbing-electric-hvac","medium","rejected_scope","","exclude_rule"
"service-dogalgaz-ocak-baglatma","Dogalgaz Ocak Baglatma","service-plumbing-electric-hvac","medium","rejected_scope","","exclude_rule"
"service-ev-tamirat-tadilat","Ev Tamirat Tadilat","service-construction-renovation","medium","rejected_scope","","exclude_rule"
"service-fen-ve-teknoloji-ozel-ders","Fen Ve Teknoloji Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-fotograf-makinesi-tamiri","Fotograf Makinesi Tamiri","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-hidrofor-bakimi","Hidrofor Bakimi","service-health-care","medium","rejected_scope","","exclude_rule"
"service-hollandaca-ozel-ders","Hollandaca Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-inverter-tamiri","Inverter Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-italyanca-ozel-ders","Italyanca Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-java-ozel-ders","Java Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-kalorifer-kazani-tamiri","Kalorifer Kazani Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-kamera-tamiri","Kamera Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-kapi-otomatigi-montaji","Kapi Otomatigi Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-klima-gaz-kacagi-tamiri","Klima Gaz Kacagi Tamiri","service-plumbing-electric-hvac","medium","rejected_scope","","exclude_rule"
"service-kombi-kart-tamiri","Kombi Kart Tamiri","service-plumbing-electric-hvac","medium","rejected_scope","","exclude_rule"
"service-kucuk-ev-aletleri-tamiri","Kucuk Ev Aletleri Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-laptop-adaptor-tamiri","Laptop Adaptor Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-mac-tamiri","Mac Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-mantarli-tirnak-bakimi","Mantarli Tirnak Bakimi","service-health-care","medium","rejected_scope","","exclude_rule"
"service-masaustu-bilgisayar-montaji","Masaustu Bilgisayar Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-membran-cati-tamiri","Membran Cati Tamiri","service-construction-renovation","medium","rejected_scope","","exclude_rule"
"service-mermerit-tezgah-tamiri","Mermerit Tezgah Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-motosiklet-ozel-ders","Motosiklet Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-muay-thai-ozel-ders","Muay Thai Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-ocak-tamiri","Ocak Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-okul-oncesi-ozel-ders","Okul Oncesi Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-paratoner-tesisati","Paratoner Tesisati","service-plumbing-electric-hvac","medium","rejected_scope","","exclude_rule"
"service-pte-ozel-ders","Pte Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-sac-kurutma-makinesi-tamiri","Sac Kurutma Makinesi Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-sineklik-tamiri","Sineklik Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-sis-fari-montaji","Sis Fari Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-su-deposu-montaji","Su Deposu Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-su-saati-tamiri","Su Saati Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-sutluk-dolabi-tamiri","Sutluk Dolabi Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-tekne-motor-tamiri","Tekne Motor Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-teknik-resim-ozel-ders","Teknik Resim Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-televizyon-tesisati","Televizyon Tesisati","service-plumbing-electric-hvac","medium","rejected_scope","","exclude_rule"
"service-termosifon-tamiri","Termosifon Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-ufo-tamiri","Ufo Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-webasto-montaji","Webasto Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
